Date,Month,year,Category,Amount,Transaction Description,Payment mode,Type
18-07-2022,Jul,2022,Entertainment,1429,Baby away affect medical all.,UPI,Expense
18-07-2022,Jul,2022,Investment,3612,If operation trade necessary myself.,UPI,Income
19-07-2022,Jul,2022,Utilities,1482,President chance hotel through.,UPI,Expense
20-07-2022,Jul,2022,Rent,192,Let member however.,UPI,Expense
22-07-2022,Jul,2022,Salary,726,Production summer.,UPI,Expense
25-07-2022,Jul,2022,Utilities,184,Cell city not not the.,UPI,Expense
27-07-2022,Jul,2022,Shopping,216,Voice american seven discussion.,UPI,Expense
27-07-2022,Jul,2022,Investment,3157,Doctor protect military social.,UPI,Income
27-07-2022,Jul,2022,Food & Drink,591,Truth thing always possible.,UPI,Expense
27-07-2022,Jul,2022,Rent,1452,Plant event score official now.,UPI,Expense
28-07-2022,Jul,2022,Entertainment,1148,Half president structure might.,UPI,Expense
28-07-2022,Jul,2022,Other,1888,Might good test.,UPI,Income
29-07-2022,Jul,2022,Other,2698,Thought according think key.,UPI,Income
30-07-2022,Jul,2022,Rent,343,Method exactly.,UPI,Expense
31-07-2022,Jul,2022,Travel,974,Church own stage.,UPI,Expense
02-08-2022,Aug,2022,Other,2520,Specific result loss long.,UPI,Income
02-08-2022,Aug,2022,Salary,1192,Claim street against amount of.,UPI,Expense
03-08-2022,Aug,2022,Investment,1609,Picture always occur.,UPI,Income
04-08-2022,Aug,2022,Shopping,671,Election conference when.,UPI,Expense
06-08-2022,Aug,2022,Health & Fitness,886,These road.,UPI,Expense
07-08-2022,Aug,2022,Utilities,608,Describe paper.,UPI,Expense
12-08-2022,Aug,2022,Entertainment,963,Color store over some.,UPI,Expense
13-08-2022,Aug,2022,Other,3114,Process enough right garden law.,UPI,Income
15-08-2022,Aug,2022,Salary,1936,Her car admit.,UPI,Expense
15-08-2022,Aug,2022,Health & Fitness,758,Range step painting concern.,UPI,Expense
16-08-2022,Aug,2022,Shopping,736,Me brother lot candidate owner.,UPI,Expense
16-08-2022,Aug,2022,Entertainment,1189,Miss have analysis morning.,UPI,Expense
17-08-2022,Aug,2022,Food & Drink,1906,Smile high open scientist.,UPI,Expense
18-08-2022,Aug,2022,Entertainment,883,International effort.,UPI,Expense
19-08-2022,Aug,2022,Rent,1640,Exist theory.,UPI,Expense
21-08-2022,Aug,2022,Shopping,1349,Country remember smile.,UPI,Expense
21-08-2022,Aug,2022,Other,2482,Brother according pressure reach firm.,UPI,Income
22-08-2022,Aug,2022,Utilities,1433,Choice prepare.,UPI,Expense
22-08-2022,Aug,2022,Rent,904,Talk interest hand.,UPI,Expense
23-08-2022,Aug,2022,Shopping,1073,Sense including six lot.,cash,Expense
24-08-2022,Aug,2022,Shopping,1092,Never effect fill general relationship.,cash,Expense
26-08-2022,Aug,2022,Health & Fitness,1406,Security land record.,cash,Expense
26-08-2022,Aug,2022,Rent,228,Democrat hundred.,cash,Expense
28-08-2022,Aug,2022,Health & Fitness,341,Pass range appear home player.,cash,Expense
29-08-2022,Aug,2022,Shopping,1934,Likely outside because.,cash,Expense
30-08-2022,Aug,2022,Shopping,221,He participant right.,cash,Expense
31-08-2022,Aug,2022,Investment,4683,Prevent expert white arm similar.,cash,Income
31-08-2022,Aug,2022,Entertainment,897,Keep cut prevent sound.,cash,Expense
01-09-2022,Sep,2022,Utilities,696,Almost outside middle.,cash,Expense
02-09-2022,Sep,2022,Investment,2920,College already dream a church.,cash,Income
03-09-2022,Sep,2022,Rent,241,Good house only military.,cash,Expense
03-09-2022,Sep,2022,Utilities,703,Near risk.,UPI,Expense
03-09-2022,Sep,2022,Entertainment,1047,Give white everybody paper create.,UPI,Expense
04-09-2022,Sep,2022,Rent,882,Above company media next me.,UPI,Expense
04-09-2022,Sep,2022,Health & Fitness,144,Sort what.,UPI,Expense
05-09-2022,Sep,2022,Investment,685,Economic kind help low during.,UPI,Income
06-09-2022,Sep,2022,Rent,1358,Race to television loss.,UPI,Expense
07-09-2022,Sep,2022,Investment,4727,Him small.,UPI,Income
08-09-2022,Sep,2022,Investment,3211,Son include good.,UPI,Income
10-09-2022,Sep,2022,Salary,471,Red enjoy.,UPI,Expense
11-09-2022,Sep,2022,Utilities,381,Human see.,UPI,Expense
11-09-2022,Sep,2022,Shopping,68,Never condition.,UPI,Expense
12-09-2022,Sep,2022,Entertainment,905,Despite off consumer second.,UPI,Expense
14-09-2022,Sep,2022,Food & Drink,1412,Say dog drug enter.,UPI,Expense
15-09-2022,Sep,2022,Rent,1159,Strong student green.,UPI,Expense
15-09-2022,Sep,2022,Utilities,738,Turn put professional.,UPI,Expense
17-09-2022,Sep,2022,Investment,2649,When summer he firm together.,UPI,Income
18-09-2022,Sep,2022,Salary,1060,Make worker trouble.,UPI,Expense
19-09-2022,Sep,2022,Shopping,1227,Develop office approach son.,UPI,Expense
19-09-2022,Sep,2022,Health & Fitness,710,Allow girl team simply lead.,UPI,Expense
21-09-2022,Sep,2022,Utilities,1629,Least ready activity decision ok.,UPI,Expense
23-09-2022,Sep,2022,Travel,1838,Party employee nature down.,UPI,Expense
26-09-2022,Sep,2022,Utilities,633,Gas contain interest industry sell.,UPI,Expense
26-09-2022,Sep,2022,Rent,374,Evidence conference capital office.,UPI,Expense
28-09-2022,Sep,2022,Shopping,842,Result sound.,UPI,Expense
29-09-2022,Sep,2022,Other,3965,Task cultural son school.,UPI,Income
29-09-2022,Sep,2022,Investment,1866,Computer matter.,UPI,Income
30-09-2022,Sep,2022,Utilities,382,Result size feel no nothing.,UPI,Expense
01-10-2022,Oct,2022,Food & Drink,1732,Real art.,UPI,Expense
02-10-2022,Oct,2022,Salary,282,Stuff benefit seat employee.,UPI,Expense
03-10-2022,Oct,2022,Salary,824,Newspaper special general in go.,UPI,Expense
04-10-2022,Oct,2022,Salary,983,Office power company sister great.,UPI,Expense
04-10-2022,Oct,2022,Investment,2306,Simple land bad party.,UPI,Income
05-10-2022,Oct,2022,Travel,457,What than political up instead.,UPI,Expense
08-10-2022,Oct,2022,Salary,1136,Support author class direction.,UPI,Expense
10-10-2022,Oct,2022,Salary,1104,Report painting house.,UPI,Expense
12-10-2022,Oct,2022,Investment,2694,Security minute late cold.,UPI,Income
12-10-2022,Oct,2022,Health & Fitness,1089,Road product wait.,UPI,Expense
13-10-2022,Oct,2022,Salary,1097,Cold billion as.,UPI,Expense
19-10-2022,Oct,2022,Rent,1475,Approach side model you billion.,UPI,Expense
19-10-2022,Oct,2022,Entertainment,602,Pressure those.,UPI,Expense
20-10-2022,Oct,2022,Salary,533,Easy exist phone.,UPI,Expense
21-10-2022,Oct,2022,Rent,884,Stuff agreement professional team foot.,UPI,Expense
22-10-2022,Oct,2022,Entertainment,428,Window music evening know.,UPI,Expense
23-10-2022,Oct,2022,Health & Fitness,1723,Opportunity lead see.,UPI,Expense
25-10-2022,Oct,2022,Shopping,340,Model police finally girl.,UPI,Expense
28-10-2022,Oct,2022,Investment,2195,Source kind hand.,UPI,Income
30-10-2022,Oct,2022,Health & Fitness,1069,Field a spring.,UPI,Expense
31-10-2022,Oct,2022,Utilities,654,Expert movement reach man.,UPI,Expense
03-11-2022,Nov,2022,Travel,1150,Across involve fall.,UPI,Expense
04-11-2022,Nov,2022,Rent,280,Nature country.,UPI,Expense
05-11-2022,Nov,2022,Shopping,1838,House clear say hope.,UPI,Expense
07-11-2022,Nov,2022,Utilities,1406,Enjoy instead dream.,UPI,Expense
07-11-2022,Nov,2022,Investment,3138,Possible mother especially.,UPI,Income
09-11-2022,Nov,2022,Shopping,984,Consumer face.,UPI,Expense
10-11-2022,Nov,2022,Travel,1259,Laugh red man fly charge.,UPI,Expense
13-11-2022,Nov,2022,Rent,1271,Control bill.,UPI,Expense
14-11-2022,Nov,2022,Rent,812,Resource road do.,UPI,Expense
14-11-2022,Nov,2022,Health & Fitness,915,Management game.,UPI,Expense
15-11-2022,Nov,2022,Food & Drink,1739,Your less social form.,UPI,Expense
17-11-2022,Nov,2022,Rent,1465,Entire hotel.,UPI,Expense
17-11-2022,Nov,2022,Health & Fitness,1702,Consider time economic high.,UPI,Expense
18-11-2022,Nov,2022,Shopping,443,Window research his.,UPI,Expense
19-11-2022,Nov,2022,Entertainment,994,Scene almost leave.,UPI,Expense
21-11-2022,Nov,2022,Travel,682,Program decade home which view.,UPI,Expense
22-11-2022,Nov,2022,Salary,1579,Rock seat near business loss.,card,Expense
26-11-2022,Nov,2022,Food & Drink,101,Growth appear project.,card,Expense
26-11-2022,Nov,2022,Salary,42,Plan foot cold.,card,Expense
28-11-2022,Nov,2022,Utilities,888,Build smile across among situation.,card,Expense
28-11-2022,Nov,2022,Other,2157,Choice side eat matter rather.,card,Income
01-12-2022,Dec,2022,Utilities,1765,Art green child movie blue.,card,Expense
03-12-2022,Dec,2022,Travel,196,First next popular.,card,Expense
04-12-2022,Dec,2022,Rent,750,Run again help right.,card,Expense
05-12-2022,Dec,2022,Utilities,113,Magazine join.,card,Expense
05-12-2022,Dec,2022,Entertainment,864,Recent couple cost girl run.,card,Expense
07-12-2022,Dec,2022,Investment,508,Trial never attention choice fast.,card,Income
12-12-2022,Dec,2022,Rent,274,Happen a point here control.,card,Expense
13-12-2022,Dec,2022,Salary,28,Task simply draw return probably.,card,Expense
15-12-2022,Dec,2022,Rent,1976,Couple raise she child.,card,Expense
16-12-2022,Dec,2022,Utilities,961,Important focus benefit probably.,card,Expense
18-12-2022,Dec,2022,Rent,1464,Condition all blood.,card,Expense
22-12-2022,Dec,2022,Other,3511,All politics.,card,Income
28-12-2022,Dec,2022,Utilities,772,Moment red eight hand.,card,Expense
30-12-2022,Dec,2022,Utilities,1287,Us decade.,card,Expense
31-12-2022,Dec,2022,Rent,1066,Life police.,card,Expense
03-01-2023,Jan,2023,Investment,4105,Sea three state some around.,card,Income
04-01-2023,Jan,2023,Entertainment,1260,American audience fight war whether.,card,Expense
04-01-2023,Jan,2023,Other,4124,Rise mother.,card,Income
06-01-2023,Jan,2023,Rent,1794,Moment eat personal.,card,Expense
09-01-2023,Jan,2023,Investment,3645,See indeed black police group.,card,Income
10-01-2023,Jan,2023,Shopping,636,Third coach congress husband.,card,Expense
11-01-2023,Jan,2023,Other,1190,Move outside value.,card,Income
13-01-2023,Jan,2023,Travel,1560,Yard foot he share issue.,card,Expense
15-01-2023,Jan,2023,Travel,419,Drive nation heart nearly season.,card,Expense
16-01-2023,Jan,2023,Entertainment,1498,Language however risk work.,card,Expense
17-01-2023,Jan,2023,Food & Drink,1570,Career three according worker democrat.,card,Expense
18-01-2023,Jan,2023,Entertainment,995,Sign wall.,card,Expense
19-01-2023,Jan,2023,Other,1081,Memory number occur behind leave.,card,Income
19-01-2023,Jan,2023,Food & Drink,1974,Enter threat economic.,card,Expense
19-01-2023,Jan,2023,Utilities,780,Begin hundred truth.,card,Expense
19-01-2023,Jan,2023,Shopping,737,Society common stay ready.,card,Expense
19-01-2023,Jan,2023,Salary,1909,Organization feel.,card,Expense
20-01-2023,Jan,2023,Food & Drink,1179,Bad argue side girl.,card,Expense
21-01-2023,Jan,2023,Investment,826,Us building side section.,card,Income
21-01-2023,Jan,2023,Shopping,1018,Him fight american music change.,card,Expense
22-01-2023,Jan,2023,Shopping,853,Check purpose young.,card,Expense
23-01-2023,Jan,2023,Utilities,562,Offer bed it skill challenge.,card,Expense
23-01-2023,Jan,2023,Entertainment,1949,Live seat.,card,Expense
23-01-2023,Jan,2023,Other,3700,Energy huge its recently.,card,Income
24-01-2023,Jan,2023,Rent,627,Nice maintain present cultural.,card,Expense
24-01-2023,Jan,2023,Entertainment,125,Drug entire involve.,card,Expense
24-01-2023,Jan,2023,Other,1450,Both including.,card,Income
24-01-2023,Jan,2023,Food & Drink,625,Couple general pretty show.,card,Expense
24-01-2023,Jan,2023,Utilities,248,Pattern wrong kind certainly.,card,Expense
24-01-2023,Jan,2023,Food & Drink,336,Current health serious.,card,Expense
25-01-2023,Jan,2023,Travel,342,Science drug.,card,Expense
26-01-2023,Jan,2023,Other,1467,Add really born.,card,Income
27-01-2023,Jan,2023,Food & Drink,677,Age decade mrs data.,card,Expense
27-01-2023,Jan,2023,Rent,533,Nature performance yeah.,card,Expense
28-01-2023,Jan,2023,Rent,997,On professional analysis color.,card,Expense
29-01-2023,Jan,2023,Food & Drink,1004,Smile peace apply.,card,Expense
29-01-2023,Jan,2023,Health & Fitness,323,Home even.,card,Expense
30-01-2023,Jan,2023,Rent,465,Affect test.,card,Expense
31-01-2023,Jan,2023,Food & Drink,1719,Woman meet report.,card,Expense
31-01-2023,Jan,2023,Investment,4364,Term mother cost may.,card,Income
01-02-2023,Feb,2023,Utilities,366,Unit again easy morning four.,card,Expense
02-02-2023,Feb,2023,Food & Drink,1110,Adult range green.,card,Expense
03-02-2023,Feb,2023,Shopping,457,You without every.,card,Expense
06-02-2023,Feb,2023,Health & Fitness,550,Election hit yourself wrong want.,card,Expense
07-02-2023,Feb,2023,Other,1478,Charge today prevent.,card,Income
07-02-2023,Feb,2023,Food & Drink,367,Minute question their rather.,card,Expense
08-02-2023,Feb,2023,Food & Drink,1909,Of interview fine.,card,Expense
08-02-2023,Feb,2023,Other,2812,My deal catch must.,card,Income
09-02-2023,Feb,2023,Travel,661,Finally relate model.,card,Expense
12-02-2023,Feb,2023,Food & Drink,744,Yet wish certain usually.,card,Expense
13-02-2023,Feb,2023,Travel,1482,Attack mouth rest contain.,card,Expense
15-02-2023,Feb,2023,Health & Fitness,1187,She they.,card,Expense
16-02-2023,Feb,2023,Entertainment,1468,Field seat start pm.,card,Expense
18-02-2023,Feb,2023,Entertainment,310,Single blood continue.,UPI,Expense
20-02-2023,Feb,2023,Food & Drink,474,Note discuss discussion reach grow.,UPI,Expense
20-02-2023,Feb,2023,Food & Drink,1902,Maybe painting republican.,UPI,Expense
22-02-2023,Feb,2023,Other,3019,System man case.,UPI,Income
22-02-2023,Feb,2023,Investment,3939,Allow share address.,UPI,Income
24-02-2023,Feb,2023,Food & Drink,1945,Development provide dark daughter.,UPI,Expense
26-02-2023,Feb,2023,Other,1262,Term majority foot leader.,UPI,Income
26-02-2023,Feb,2023,Investment,4757,If among save herself.,UPI,Income
26-02-2023,Feb,2023,Health & Fitness,922,Particularly score order modern.,UPI,Expense
28-02-2023,Feb,2023,Rent,1016,Body lead there there early.,UPI,Expense
03-03-2023,Mar,2023,Shopping,159,Worker always hold share.,UPI,Expense
03-03-2023,Mar,2023,Shopping,1328,Fact huge fight.,UPI,Expense
05-03-2023,Mar,2023,Other,2638,Coach family try ready.,UPI,Income
05-03-2023,Mar,2023,Shopping,1404,Stop later reveal both.,UPI,Expense
05-03-2023,Mar,2023,Health & Fitness,911,Career including late condition opportunity.,UPI,Expense
07-03-2023,Mar,2023,Entertainment,281,Bed food possible represent.,UPI,Expense
08-03-2023,Mar,2023,Rent,319,Before relationship plant.,UPI,Expense
08-03-2023,Mar,2023,Other,3072,Religious risk window partner civil.,UPI,Income
08-03-2023,Mar,2023,Health & Fitness,1930,Analysis color friend the.,UPI,Expense
08-03-2023,Mar,2023,Travel,932,Than condition republican.,UPI,Expense
10-03-2023,Mar,2023,Rent,324,Finally shoulder land.,UPI,Expense
10-03-2023,Mar,2023,Food & Drink,438,Together whether about.,UPI,Expense
12-03-2023,Mar,2023,Utilities,192,Learn talk.,UPI,Expense
13-03-2023,Mar,2023,Health & Fitness,799,Part management.,UPI,Expense
13-03-2023,Mar,2023,Other,2631,Process law kind over according.,UPI,Income
13-03-2023,Mar,2023,Utilities,72,People newspaper stay.,UPI,Expense
15-03-2023,Mar,2023,Salary,1116,Challenge president already.,UPI,Expense
15-03-2023,Mar,2023,Rent,929,Study fear turn any indicate.,UPI,Expense
16-03-2023,Mar,2023,Utilities,252,Public particularly reality.,UPI,Expense
16-03-2023,Mar,2023,Investment,1570,Concern lay often use behavior.,UPI,Income
18-03-2023,Mar,2023,Other,3549,Happy her attack interview.,UPI,Income
18-03-2023,Mar,2023,Rent,1169,Fall care.,UPI,Expense
21-03-2023,Mar,2023,Rent,53,Money modern receive partner.,UPI,Expense
22-03-2023,Mar,2023,Other,1555,Role pick would low read.,UPI,Income
23-03-2023,Mar,2023,Other,1503,Participant first moment yet.,UPI,Income
23-03-2023,Mar,2023,Other,914,Pass market role.,UPI,Income
23-03-2023,Mar,2023,Other,3735,Space this discussion fact.,UPI,Income
24-03-2023,Mar,2023,Shopping,1370,Brother let.,UPI,Expense
27-03-2023,Mar,2023,Investment,2033,Son yourself increase.,UPI,Income
29-03-2023,Mar,2023,Salary,1768,Night point action cut.,UPI,Expense
30-03-2023,Mar,2023,Investment,2917,So film media.,UPI,Income
31-03-2023,Mar,2023,Salary,131,Box four.,UPI,Expense
31-03-2023,Mar,2023,Utilities,844,Pattern ahead compare form full.,UPI,Expense
01-04-2023,Apr,2023,Entertainment,1265,Something population loss physical.,UPI,Expense
01-04-2023,Apr,2023,Food & Drink,1979,Leg sport until argue.,UPI,Expense
04-04-2023,Apr,2023,Health & Fitness,965,North question new.,UPI,Expense
07-04-2023,Apr,2023,Health & Fitness,1826,Officer forward trouble.,UPI,Expense
08-04-2023,Apr,2023,Shopping,548,Wide exactly.,UPI,Expense
09-04-2023,Apr,2023,Investment,740,Worker phone success number.,net banking,Income
10-04-2023,Apr,2023,Travel,127,Organization ten seem.,net banking,Expense
10-04-2023,Apr,2023,Health & Fitness,1536,Even beautiful.,net banking,Expense
13-04-2023,Apr,2023,Utilities,209,Later week democratic few.,net banking,Expense
15-04-2023,Apr,2023,Travel,1072,Size sing tree kitchen.,net banking,Expense
16-04-2023,Apr,2023,Food & Drink,1530,Toward child future low.,net banking,Expense
20-04-2023,Apr,2023,Shopping,716,Simply century the.,net banking,Expense
20-04-2023,Apr,2023,Utilities,360,Day already hold.,net banking,Expense
21-04-2023,Apr,2023,Health & Fitness,1829,About usually.,net banking,Expense
22-04-2023,Apr,2023,Other,1664,Level animal minute probably.,net banking,Income
22-04-2023,Apr,2023,Entertainment,1675,Officer fine.,net banking,Expense
23-04-2023,Apr,2023,Salary,1089,Customer expert mother significant.,net banking,Expense
24-04-2023,Apr,2023,Investment,1239,Chance event address.,net banking,Income
25-04-2023,Apr,2023,Investment,663,Bill my near even wall.,net banking,Income
02-05-2023,May,2023,Food & Drink,670,Each author party full kitchen.,net banking,Expense
02-05-2023,May,2023,Utilities,688,Likely push.,net banking,Expense
03-05-2023,May,2023,Other,987,Approach interview condition other.,net banking,Income
05-05-2023,May,2023,Investment,1408,Green forward cup serve speak.,net banking,Income
05-05-2023,May,2023,Health & Fitness,1922,Nothing behavior sort recognize.,net banking,Expense
05-05-2023,May,2023,Shopping,1176,Financial popular short like.,net banking,Expense
07-05-2023,May,2023,Health & Fitness,282,Technology pay tree.,net banking,Expense
12-05-2023,May,2023,Other,4491,Record professor small.,net banking,Income
14-05-2023,May,2023,Utilities,1417,Maintain assume both long.,net banking,Expense
14-05-2023,May,2023,Health & Fitness,454,Should page camera.,net banking,Expense
14-05-2023,May,2023,Utilities,763,Stage someone for power.,net banking,Expense
15-05-2023,May,2023,Travel,263,Leave opportunity draw during city.,net banking,Expense
15-05-2023,May,2023,Shopping,1703,At decade really issue.,net banking,Expense
16-05-2023,May,2023,Food & Drink,372,Skin name door production back.,net banking,Expense
17-05-2023,May,2023,Entertainment,1283,Boy other foot best.,net banking,Expense
18-05-2023,May,2023,Other,1652,Final image our.,UPI,Income
19-05-2023,May,2023,Rent,484,Management produce bed stage.,UPI,Expense
20-05-2023,May,2023,Utilities,1276,Serious produce.,UPI,Expense
20-05-2023,May,2023,Health & Fitness,899,Factor past language day theory.,UPI,Expense
20-05-2023,May,2023,Entertainment,1389,Some quickly truth view response.,UPI,Expense
22-05-2023,May,2023,Rent,1444,Old particularly.,UPI,Expense
22-05-2023,May,2023,Other,3937,Summer system artist too.,UPI,Income
22-05-2023,May,2023,Shopping,991,Reflect star.,UPI,Expense
25-05-2023,May,2023,Shopping,212,Technology tend.,UPI,Expense
28-05-2023,May,2023,Entertainment,334,Reduce hour fish him.,UPI,Expense
29-05-2023,May,2023,Investment,2915,Nation production little could.,UPI,Income
29-05-2023,May,2023,Other,1357,Style child young prove.,UPI,Income
30-05-2023,May,2023,Investment,3575,Author administration.,UPI,Income
02-06-2023,Jun,2023,Investment,4981,Window career case south.,UPI,Income
03-06-2023,Jun,2023,Rent,683,Us perhaps lawyer interest star.,UPI,Expense
04-06-2023,Jun,2023,Salary,1412,Difficult interesting account marriage.,UPI,Expense
05-06-2023,Jun,2023,Utilities,1219,Especially unit office almost.,UPI,Expense
08-06-2023,Jun,2023,Food & Drink,212,Low happy oil which bag.,UPI,Expense
08-06-2023,Jun,2023,Entertainment,824,Let back three.,UPI,Expense
09-06-2023,Jun,2023,Travel,1325,Line score whether.,UPI,Expense
09-06-2023,Jun,2023,Rent,109,Something fine apply gas sing.,UPI,Expense
10-06-2023,Jun,2023,Salary,316,Mention light safe inside.,UPI,Expense
10-06-2023,Jun,2023,Shopping,184,Cold reason our.,UPI,Expense
13-06-2023,Jun,2023,Salary,407,Employee picture official of prevent.,UPI,Expense
15-06-2023,Jun,2023,Investment,2890,Agree machine camera baby six.,UPI,Income
16-06-2023,Jun,2023,Salary,1689,Past every either.,cash,Expense
16-06-2023,Jun,2023,Shopping,947,Company option character land space.,cash,Expense
17-06-2023,Jun,2023,Travel,191,Machine son television.,cash,Expense
17-06-2023,Jun,2023,Utilities,748,Whose other.,cash,Expense
19-06-2023,Jun,2023,Utilities,897,Sell include himself produce.,cash,Expense
21-06-2023,Jun,2023,Salary,534,Official success approach.,cash,Expense
22-06-2023,Jun,2023,Food & Drink,311,Apply less.,cash,Expense
22-06-2023,Jun,2023,Rent,181,Live way two.,cash,Expense
23-06-2023,Jun,2023,Shopping,1942,Raise hope enjoy most.,cash,Expense
25-06-2023,Jun,2023,Food & Drink,1683,Eye something.,cash,Expense
25-06-2023,Jun,2023,Shopping,1932,Which raise american truth.,cash,Expense
25-06-2023,Jun,2023,Salary,1150,Particular present evening establish.,cash,Expense
26-06-2023,Jun,2023,Travel,167,Pressure hospital significant.,UPI,Expense
30-06-2023,Jun,2023,Food & Drink,1009,Side mind question year finish.,UPI,Expense
01-07-2023,Jul,2023,Utilities,249,Story activity.,UPI,Expense
02-07-2023,Jul,2023,Utilities,1899,Billion land detail exist cover.,UPI,Expense
05-07-2023,Jul,2023,Investment,2078,Begin voice prevent structure wear.,UPI,Income
05-07-2023,Jul,2023,Other,1141,Beat painting heavy.,UPI,Income
06-07-2023,Jul,2023,Shopping,412,To receive education.,UPI,Expense
07-07-2023,Jul,2023,Utilities,1670,Police two.,UPI,Expense
07-07-2023,Jul,2023,Rent,183,Realize property show either.,UPI,Expense
10-07-2023,Jul,2023,Health & Fitness,1715,Since him four.,UPI,Expense
10-07-2023,Jul,2023,Food & Drink,1575,Western enough key.,UPI,Expense
10-07-2023,Jul,2023,Shopping,234,Particular condition man.,UPI,Expense
10-07-2023,Jul,2023,Investment,1365,Shoulder despite poor tree resource.,UPI,Income
11-07-2023,Jul,2023,Rent,1574,Authority number.,UPI,Expense
13-07-2023,Jul,2023,Health & Fitness,1757,Affect marriage present a.,UPI,Expense
15-07-2023,Jul,2023,Salary,1148,Entire record toward off.,UPI,Expense
15-07-2023,Jul,2023,Utilities,558,Long identify road speech.,UPI,Expense
15-07-2023,Jul,2023,Other,817,Difficult his ready sister building.,UPI,Income
15-07-2023,Jul,2023,Health & Fitness,1384,Four field area young.,UPI,Expense
15-07-2023,Jul,2023,Other,2700,Movement which ball least.,UPI,Income
16-07-2023,Jul,2023,Food & Drink,682,Computer always his.,UPI,Expense
17-07-2023,Jul,2023,Travel,568,Receive to piece.,UPI,Expense
18-07-2023,Jul,2023,Rent,1945,Be plan same cause.,UPI,Expense
19-07-2023,Jul,2023,Travel,1949,Rest or.,UPI,Expense
19-07-2023,Jul,2023,Health & Fitness,546,As music film move.,UPI,Expense
20-07-2023,Jul,2023,Rent,384,Already argue.,UPI,Expense
21-07-2023,Jul,2023,Shopping,1484,Brother southern project learn.,UPI,Expense
23-07-2023,Jul,2023,Health & Fitness,1644,Scientist do author.,UPI,Expense
25-07-2023,Jul,2023,Utilities,141,President likely truth animal.,UPI,Expense
26-07-2023,Jul,2023,Shopping,280,Common anyone.,UPI,Expense
27-07-2023,Jul,2023,Food & Drink,356,Lay color.,UPI,Expense
27-07-2023,Jul,2023,Entertainment,1676,Box organization.,UPI,Expense
30-07-2023,Jul,2023,Salary,111,Source international.,UPI,Expense
01-08-2023,Aug,2023,Entertainment,555,Building range national focus.,UPI,Expense
04-08-2023,Aug,2023,Shopping,1274,Or friend.,UPI,Expense
05-08-2023,Aug,2023,Investment,2481,Center indeed recent.,UPI,Income
07-08-2023,Aug,2023,Salary,363,Just understand american.,UPI,Expense
07-08-2023,Aug,2023,Health & Fitness,695,Partner sing administration main according.,UPI,Expense
09-08-2023,Aug,2023,Travel,1500,Religious order.,UPI,Expense
09-08-2023,Aug,2023,Travel,65,Really society live camera.,card,Expense
10-08-2023,Aug,2023,Investment,2313,Mission include visit.,card,Income
10-08-2023,Aug,2023,Entertainment,545,Conference matter wear physical site.,card,Expense
11-08-2023,Aug,2023,Food & Drink,1731,Above dog brother morning.,card,Expense
16-08-2023,Aug,2023,Food & Drink,953,Gun seven music despite show.,card,Expense
17-08-2023,Aug,2023,Investment,569,Apply both chance.,card,Income
17-08-2023,Aug,2023,Travel,1428,Computer prove amount population.,card,Expense
21-08-2023,Aug,2023,Travel,853,Itself free source.,card,Expense
22-08-2023,Aug,2023,Health & Fitness,923,Bit appear.,card,Expense
23-08-2023,Aug,2023,Travel,1358,Citizen ahead method.,card,Expense
25-08-2023,Aug,2023,Shopping,1173,Return or for.,card,Expense
27-08-2023,Aug,2023,Other,2815,Discover body direction down.,card,Income
30-08-2023,Aug,2023,Rent,969,Heart determine likely.,card,Expense
30-08-2023,Aug,2023,Travel,1285,Three certain.,card,Expense
30-08-2023,Aug,2023,Travel,1316,Hold carry rest.,card,Expense
30-08-2023,Aug,2023,Travel,385,Dark camera realize.,card,Expense
01-09-2023,Sep,2023,Entertainment,1800,Carry surface learn.,card,Expense
01-09-2023,Sep,2023,Shopping,1324,Detail far church some.,card,Expense
03-09-2023,Sep,2023,Food & Drink,1314,Wife talk beat tax majority.,card,Expense
04-09-2023,Sep,2023,Travel,1815,List leg address into their.,card,Expense
04-09-2023,Sep,2023,Food & Drink,1170,Its develop until watch.,card,Expense
04-09-2023,Sep,2023,Entertainment,693,Individual analysis.,card,Expense
07-09-2023,Sep,2023,Salary,1814,Almost most look something.,card,Expense
10-09-2023,Sep,2023,Travel,1692,Manager bar send really.,card,Expense
11-09-2023,Sep,2023,Utilities,595,Car fast positive.,card,Expense
11-09-2023,Sep,2023,Travel,1453,Look fight.,card,Expense
12-09-2023,Sep,2023,Utilities,1894,Section agency lawyer sign them.,card,Expense
12-09-2023,Sep,2023,Rent,452,Smile have less.,card,Expense
13-09-2023,Sep,2023,Travel,847,Audience throw four allow international.,card,Expense
14-09-2023,Sep,2023,Health & Fitness,529,My some skin ball thing.,card,Expense
14-09-2023,Sep,2023,Rent,946,War push thousand book half.,card,Expense
14-09-2023,Sep,2023,Rent,950,Hand possible relate night.,card,Expense
15-09-2023,Sep,2023,Investment,3626,Wonder draw box.,card,Income
15-09-2023,Sep,2023,Shopping,118,That reflect send set fly.,card,Expense
16-09-2023,Sep,2023,Utilities,1985,Quite everyone as generation.,card,Expense
16-09-2023,Sep,2023,Salary,295,Money but report question.,card,Expense
21-09-2023,Sep,2023,Utilities,1560,Later happy pull.,card,Expense
21-09-2023,Sep,2023,Utilities,634,Throughout leader bag.,card,Expense
23-09-2023,Sep,2023,Other,2740,When baby clearly.,card,Income
